2025-02-23 12:02:58.156 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-02-23 12:02:58.171 | INFO     | __main__:<module>:68 - Project root: C:\Users\Owner\Desktop\buzzline-06-hatfield
2025-02-23 12:02:58.171 | INFO     | __main__:<module>:72 - Data folder: C:\Users\Owner\Desktop\buzzline-06-hatfield\data
2025-02-23 12:02:58.171 | INFO     | __main__:<module>:76 - Data file: C:\Users\Owner\Desktop\buzzline-06-hatfield\data\book_data.json
2025-02-23 12:02:58.171 | INFO     | __main__:main:136 - START producer.
2025-02-23 12:02:58.171 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-02-23 12:02:58.190 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-02-23 12:02:58.190 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-23 12:02:58.557 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'DZQEpi9tQK2v34v2Qkuykg', 'controller_id': 0}
2025-02-23 12:02:58.557 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-02-23 12:02:58.557 | INFO     | __main__:get_message_interval:57 - Message interval: 3 seconds
2025-02-23 12:02:58.575 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-23 12:02:58.575 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-02-23 12:02:58.699 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-02-23 12:02:58.699 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-23 12:02:59.043 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-02-23 12:02:59.441 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-02-23 12:02:59.444 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-02-23 12:02:59.444 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
